step,handy-end,handy-mid,set,ratio
7000000,2.40E-03,4.60E-04,4.41E-04,5.22E+00
10000000,8.40E-04,1.68E-04,1.38E-04,5.00E+00
13000000,3.74E-04,8.00E-05,5.20E-05,4.68E+00
16000000,2.30E-04,5.70E-05,2.70E-05,4.04E+00
7000000,2.50E-03,4.85E-04,4.79E-04,5.15E+00
10000000,8.90E-04,1.74E-04,1.51E-04,5.11E+00
13000000,3.97E-04,8.40E-05,5.60E-05,4.73E+00
16000000,2.37E-04,5.72E-05,2.50E-05,4.14E+00
7000000,2.40E-03,4.65E-04,4.52E-04,5.16E+00
10000000,8.60E-04,1.64E-04,1.50E-04,5.24E+00
13000000,3.80E-04,8.20E-05,5.80E-05,4.63E+00
16000000,2.31E-04,5.40E-05,1.60E-05,4.28E+00
